timestamp,aqi,pm25,pm10,o3,no2,so2,co,dominentpol,temperature,humidity,wind_speed,pressure,visibility,clouds,weather_main,weather_description,hour,day_of_week,day_of_month,month,is_weekend,season,aqi_rolling_3h,pm25_rolling_3h,pm10_rolling_3h,aqi_rolling_6h,pm25_rolling_6h,pm10_rolling_6h,aqi_rolling_12h,pm25_rolling_12h,pm10_rolling_12h,aqi_rolling_24h,pm25_rolling_24h,pm10_rolling_24h,aqi_change_1h,aqi_change_3h,pm25_pm10_ratio,no2_o3_ratio,temp_humidity_interaction,wind_pm25_interaction
2026-02-23 21:44:52.823962,172.0,110.2,164.6,29.5,15.6,18.5,0.44,pm25,21.4,72.0,2.89,1013.0,10000,66.0,Clear,clear sky,21,0,23,2,0,0,172.0,110.2,164.6,172.0,110.2,164.6,172.0,110.2,164.6,172.0,110.2,164.6,0.0,0.0,0.6695018185327958,0.5288135413961511,15.408,318.478
2026-02-23 22:44:52.823962,142.0,89.1,128.7,20.3,16.4,14.6,0.29,pm25,18.83,69.0,2.27,1008.0,10000,97.0,Clear,clear sky,22,0,23,2,0,0,157.0,99.65,146.64999999999998,157.0,99.65,146.64999999999998,157.0,99.65,146.64999999999998,157.0,99.65,146.64999999999998,-30.0,0.0,0.6923076869284562,0.8078817336018849,12.9927,202.25699999999998
2026-02-23 23:44:52.823962,169.0,103.5,153.5,49.4,37.4,17.5,0.47,pm25,21.14,67.0,2.74,1023.0,10000,58.0,Clear,clear sky,23,0,23,2,0,0,161.0,100.93333333333334,148.9333333333333,161.0,100.93333333333334,148.9333333333333,161.0,100.93333333333334,148.9333333333333,161.0,100.93333333333334,148.9333333333333,27.0,0.0,0.6742670965845792,0.7570850049173076,14.163800000000002,283.59000000000003
2026-02-24 00:44:52.823962,130.0,83.4,127.8,35.6,21.2,20.3,0.49,pm25,20.59,70.0,3.41,1016.0,10000,83.0,Clear,clear sky,0,1,24,2,0,0,147.0,92.0,136.66666666666666,153.25,96.55,143.65,153.25,96.55,143.65,153.25,96.55,143.65,-39.0,-42.0,0.6525821545181366,0.5955056012498426,14.413,284.394
2026-02-24 01:44:52.823962,111.0,60.1,94.0,28.7,25.2,20.6,0.37,pm25,18.5,59.0,3.58,1012.0,10000,87.0,Clear,clear sky,1,1,24,2,0,0,136.66666666666666,82.33333333333333,125.09999999999998,144.8,89.26,133.72,144.8,89.26,133.72,144.8,89.26,133.72,-19.0,-31.0,0.6393616953259394,0.8780487498937718,10.915,215.15800000000002
2026-02-24 02:44:52.823962,128.0,72.9,112.4,24.0,28.5,16.7,0.63,pm25,20.38,61.0,3.46,1010.0,10000,79.0,Clear,clear sky,2,1,24,2,0,0,123.0,72.13333333333334,111.39999999999999,142.0,86.53333333333335,130.16666666666666,142.0,86.53333333333335,130.16666666666666,142.0,86.53333333333335,130.16666666666666,17.0,-41.0,0.6485765066852625,1.1874999505208352,12.431799999999999,252.234
2026-02-24 03:44:52.823962,131.0,77.4,126.9,36.4,24.9,16.6,0.5,pm25,20.68,64.0,4.64,1016.0,10000,90.0,Clear,clear sky,3,1,24,2,0,0,123.33333333333333,70.13333333333334,111.10000000000001,135.16666666666666,81.06666666666668,123.88333333333333,140.42857142857142,85.22857142857143,129.7,140.42857142857142,85.22857142857143,129.7,3.0,1.0,0.6099290732078088,0.6840659152729145,13.235199999999999,359.136
2026-02-24 04:44:52.823962,94.0,52.8,84.2,9.1,12.6,19.7,0.74,pm25,16.73,61.0,3.76,1003.0,10000,2.0,Clear,clear sky,4,1,24,2,0,0,117.66666666666667,67.7,107.83333333333333,127.16666666666667,75.01666666666667,116.46666666666668,134.625,81.175,124.0125,134.625,81.175,124.0125,-37.0,-17.0,0.6270783773506131,1.3846152324598646,10.2053,198.528
2026-02-24 05:44:52.823962,164.0,102.0,138.5,23.2,17.7,14.6,0.84,pm25,24.19,69.0,0.81,1010.0,10000,46.0,Clear,clear sky,5,1,24,2,0,0,129.66666666666666,77.39999999999999,116.53333333333335,126.33333333333333,74.76666666666667,113.96666666666668,137.88888888888889,83.48888888888888,125.6222222222222,137.88888888888889,83.48888888888888,125.6222222222222,70.0,36.0,0.7364620885454001,0.7629310015978016,16.691100000000002,82.62
2026-02-24 06:44:52.823962,161.0,91.7,149.1,37.1,16.5,6.9,0.57,pm25,23.45,60.0,4.73,1017.0,10000,78.0,Clear,clear sky,6,1,24,2,0,0,139.66666666666666,82.16666666666667,123.93333333333332,131.5,76.15,117.51666666666665,140.2,84.31,127.97,140.2,84.31,127.97,-3.0,30.0,0.6150234700534979,0.44474392332226625,14.07,433.74100000000004
